Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Enchytraeus albidus																															2	7	1					10					
Enchytraeus buchholzii																																											
Enchytraeus bulbosus																																											
Enchytraeus lacteus																																											
Enchytraeus minutus																																											
Enchytraeus norvegicus																																											
Enchytronia annulata																																											
Enchytronia parva																																											
Fridericia alata																																											
Fridericia anomala																																											
Fridericia aurita																																											
Fridericia bisetosa																																						10					
Fridericia bulboides																																											
Fridericia bulbosa																																						10					
Fridericia callosa																																											
Fridericia connata																																											
Fridericia deformis																																											
Fridericia galba																																											
Fridericia gracilis																																											
Fridericia hegemon																																											
Fridericia leydigi																																											
Fridericia maculata																																											
Fridericia nemoralis																																											
Fridericia paranemoralis																																											
Fridericia paroniana																																											
Fridericia perrieri																																											
Fridericia ratzeli																																											
Fridericia singula																																											
Fridericia striata																																											
Fridericia sylvatica																																											
Fridericia tubulosa																																											
Fridericia uniampullata																																											
Henlea nasuta																																											
Henlea perpusilla																																						10					
Henlea puteana																																											
Henlea similis																																											
Henlea ventriculosa																																											
Lumbricillus fennicus																																											
Lumbricillus lineatus																																						10					
Lumbricillus pagenstecheri																																											
Marionina argentea																																						10					
Marionina communis																																											
Marionina filiformis																																											
Marionina libra																																											
Marionina riparia																														5	5							10					
Marionina simillima																																											
Mesenchytraeus armatus																													2	5	3							10					
Mesenchytraeus beumeri																																											
Mesenchytraeus flavidus																																											
Mesenchytraeus flavus																																											
Mesenchytraeus gaudens																																											
Mesenchytraeus glandulosus																																											
Mesenchytraeus ogloblini																																											
Mesenchytraeus pelicensis																																											
Oconnorella cambrensis																																											
Pachydrilus subterranus																															1	4	5					10					
GLOSSOSCOLECIDAE																																											
Criodrilus lacuum																1															4	6						10					
HAPLOTAXIDAE																																											
Haplotaxis gordioides																				1									1	4	4	1						10					
LUMBRICIDAE																																											
Allolobophora chlorotica																																						10					
Allolobophora georgii																																						10					
Allolobophora handlirschi																																						10					
Allolobophora jassyensis																																						10					
Aporrectodea caliginosa																																											
Aporrectodea longa																																											
Aporrectodea rosea																																											
Bimastos eisenix																																											
Dendrobaena alpina																																						10					
Dendrobaena attemsi																																											
Dendrobaena hortensis																																											
Dendrobaena octaedra																																											
Dendrobaena rubida f. subrubicunda																																											
Dendrobaena vejdovskyi																																						10					
Dendrodrilus rubidus																																						10					
Eisenia fetida																																											
Eisenia parva																																											
Eisenia spelea																																						10					
Eiseniella tetraedra																				1									1	1	5	3						10					
Helodrilus deficiens																																						10					
Helodrilus oculatus																																						10					
Lumbricus castaneus																																											
Lumbricus festivus																																											
Lumbricus meliboeus																																											
Lumbricus rubellus																																						10					
Lumbricus terrestris																																											
Octolasion cyaneum																																											
Octolasion lacteum																																											
LUMBRICULIDAE																																											
Bythonomus absoloni																	1																										
Bythonomus lemani															1															2	4	4						10					
Eclipidrilus lacustris																																						10					
Lamprodrilus isoporus																																											
Lamprodrilus mrazeki														1																													
Lumbriculus variegatus															1															1	4	4	1					10					
Rhynchelmis limosella															1															2	5	3						10					
Rhynchelmis tetratheca																																						10					
Stylodrilus brachystylus															1														2	4	4							10					
Stylodrilus heringianus																	1												1	2	4	3						10					
Stylodrilus parvus																	1												2	8								10					
Trichodrilus allobrogum																	1																										
Trichodrilus moravicus																1																											
Trichodrilus pragensis															1														8	2								10					
Trichodrilus tenuis																																						10					
NAIDIDAE																																											
Amphichaeta leydigii															1															2	5	3		5				5					
Amphichaeta sannio																																											
Arcteonais lomondi																1														4	6			5				5					
Bratislavia elegans																																											
Bratislavia unidentata																																											
Chaetogaster cristallinus																	1													1	5	4									10		
Chaetogaster diaphanus																				1										1	5	4									10		
Chaetogaster diastrophus																				1										2	4	4		3				3			4		
Chaetogaster diversisetosus																																		3				4			3		
Chaetogaster langi																				1										5	5			5				5					
Chaetogaster limnaei																				1										2	6	2		3				3			4		
Chaetogaster setosus																														6	4			5				5					
Dero digitata																1															2	8						10					
Dero dorsalis															1																			10									
Dero furcatus																																											
Dero nivea																																											
Dero obtusa																1															3	7						10					
Haemonais waldvogeli															1																			10									
Homochaeta naidina																1														3	7							10					
Nais alpina																			1											2	6	2		5				5					
Nais barbata																		1												2	5	3		5				5					
Nais behningi																													2	2	6			5				5					
Nais bretscheri																1														1	4	5		5				5					
Nais christinae															1															2	6	2		5				5					
Nais communis																				1										1	2	6	1	5				5					
Nais elinguis																	1													1	2	5	2	5				5					
Nais pardalis																	1													1	4	5		5				5					
Nais pseudobtusa																														2	5	3		5				5					
